时间,商品名称,库存变化,单笔销量
2026-09-14 22:06:32,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],初始库存: 50000,0
2026-09-16 00:23:44,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],50000 -> 49977,23
2026-09-16 07:27:24,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],初始库存: 49977,0
2026-09-16 19:27:50,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],49977 -> 49966,11
2026-09-16 21:45:01,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],49966 -> 49955,11
2026-09-16 22:35:55,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],49955 -> 49943,12
