时间,商品名称,库存变化,单笔销量
2026-09-14 22:06:32,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],初始库存: 5000,0
2026-09-15 11:41:00,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],5000 -> 4995,5
2026-09-16 07:27:24,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],初始库存: 4995,0
2026-09-16 10:46:41,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],4995 -> 4991,4
2026-09-16 12:14:37,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],4991 -> 4980,11
2026-09-16 12:58:05,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],4980 -> 4973,7
2026-09-16 13:09:51,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],4973 -> 4971,2
2026-09-16 17:50:31,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],4971 -> 4970,1
