时间,商品名称,库存变化,单笔销量
2026-09-14 22:06:32,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],初始库存: 49994,6
2026-09-15 02:10:28,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],49994 -> 49989,5
2026-09-15 19:21:14,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],49989 -> 49986,3
2026-09-16 07:27:24,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],初始库存: 49986,0
2026-09-16 12:58:05,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],49986 -> 49985,1
2026-09-16 18:41:09,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],49985 -> 49984,1
2026-09-16 19:40:31,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],49984 -> 49983,1
2026-09-16 21:38:00,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],49983 -> 49984,-1
2026-09-16 22:59:53,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],49984 -> 49981,3
