时间,商品名称,库存变化,单笔销量
2026-09-14 22:05:07,[09.20 1:1 부채꾸미기]어센트(ASC2NT) 2nd Mini Album [Still with you],初始库存: 5000,0
2026-09-16 07:27:37,[09.20 1:1 부채꾸미기]어센트(ASC2NT) 2nd Mini Album [Still with you],初始库存: 4960,0
2026-09-16 19:27:50,[09.20 1:1 부채꾸미기]어센트(ASC2NT) 2nd Mini Album [Still with you],4960 -> 4947,13
2026-09-16 22:35:48,[09.20 1:1 부채꾸미기]어센트(ASC2NT) 2nd Mini Album [Still with you],4947 -> 4926,21
2026-09-16 22:46:59,[09.20 1:1 부채꾸미기]어센트(ASC2NT) 2nd Mini Album [Still with you],4926 -> 4911,15
2026-09-16 22:54:13,[09.20 1:1 부채꾸미기]어센트(ASC2NT) 2nd Mini Album [Still with you],4911 -> 4908,3
